%time,field.data
1326330000000,-0.0622926950455
1326330000000,-0.0607219338417
1326370000000,-0.0619233250618
1326370000000,-0.0630909800529
1326410000000,-0.0626220107079
1326410000000,-0.0629672408104
1326450000000,-0.0620476007462
1326450000000,-0.0612009763718
1326490000000,-0.0620106458664
1326490000000,-0.0603709220886
1326530000000,-0.059908926487
1326530000000,-0.0611089468002
1326570000000,-0.0612535476685
1326570000000,-0.061891913414
1326610000000,-0.0612216591835
1326610000000,-0.0629226565361
1326650000000,-0.0622480511665
1326650000000,-0.0619980692863
1326690000000,-0.0613597035408
1326690000000,-0.0622891187668
1326730000000,-0.0608803629875
1326730000000,-0.0603873729706
1326770000000,-0.0605657100677
1326770000000,-0.0616767406464
1326810000000,-0.0604364275932
1326810000000,-0.0589237809181
1326850000000,-0.0596805810928
1326850000000,-0.0590760111809
1326890000000,-0.0588114857674
1326890000000,-0.0590426325798
1326930000000,-0.0585474967957
1326930000000,-0.0607998371124
1326970000000,-0.0589376091957
1326970000000,-0.0582454800606
1327010000000,-0.0584092736244
1327010000000,-0.0584455132484
1327050000000,-0.0580829977989
1327050000000,-0.0571041703224
1327090000000,-0.0571693778038
1327090000000,-0.0566946268082
1327130000000,-0.0557506084442
1327130000000,-0.0561467409134
1327170000000,-0.0576078891754
1327170000000,-0.0580883026123
1327210000000,-0.0561063289642
1327210000000,-0.054688334465
1327250000000,-0.0545262694359
1327250000000,-0.0531919598579
1327290000000,-0.0524806976318
1327290000000,-0.052622795105
1327330000000,-0.0529125928879
1327330000000,-0.0536425113678
1327370000000,-0.0545843839645
1327370000000,-0.0525685548782
1327410000000,-0.0518632531166
1327410000000,-0.0516663193703
1327450000000,-0.0513377189636
1327450000000,-0.0510581731796
1327490000000,-0.0510910749435
1327490000000,-0.0507320165634
1327530000000,-0.050501704216
1327530000000,-0.0507863759995
1327570000000,-0.0495103001595
1327570000000,-0.0501449108124
1327610000000,-0.0493429899216
1327610000000,-0.0499403476715
1327650000000,-0.048512339592
1327650000000,-0.0465009212494
1327690000000,-0.0470955371857
1327690000000,-0.0458965301514
1327730000000,-0.0454304814339
1327730000000,-0.046983897686
1327770000000,-0.0455380678177
1327770000000,-0.0455106496811
1327810000000,-0.046604514122
1327810000000,-0.0450142025948
1327850000000,-0.0455371141434
1327850000000,-0.045428276062
1327890000000,-0.0438194274902
1327890000000,-0.0449289679527
1327930000000,-0.0449153184891
1327930000000,-0.0441284179688
1327970000000,-0.0445575118065
1327970000000,-0.0444957017899
1328010000000,-0.0427278876305
1328010000000,-0.0427649021149
1328050000000,-0.0417969822884
1328050000000,-0.0421372652054
1328090000000,-0.0422903299332
1328090000000,-0.0413627624512
1328130000000,-0.0411539077759
1328130000000,-0.0402448773384
1328170000000,-0.0404934287071
1328170000000,-0.040778875351
1328210000000,-0.0405126214027
1328210000000,-0.0410478115082
1328250000000,-0.0410069227219
1328250000000,-0.0413880944252
1328290000000,-0.0402489900589
1328290000000,-0.0394658446312
1328330000000,-0.0389773249626
1328330000000,-0.0378578901291
1328370000000,-0.0379308462143
1328370000000,-0.0382831096649
1328410000000,-0.0384401082993
1328410000000,-0.039388358593
1328450000000,-0.0393252968788
1328450000000,-0.0389452576637
1328490000000,-0.0383340120316
1328490000000,-0.0384511351585
1328530000000,-0.037541270256
1328530000000,-0.037356197834
1328570000000,-0.0369492173195
1328570000000,-0.0372809767723
1328610000000,-0.0368546843529
1328610000000,-0.0366531014442
1328650000000,-0.0361399054527
1328650000000,-0.036687374115
1328690000000,-0.0358439683914
1328690000000,-0.0364292860031
1328730000000,-0.0354758501053
1328730000000,-0.0349941849709
1328770000000,-0.034434735775
1328770000000,-0.0342476963997
1328810000000,-0.0340775251389
1328810000000,-0.0347939133644
1328850000000,-0.0341685414314
1328850000000,-0.0350008606911
1328890000000,-0.0346596240997
1328890000000,-0.0343692302704
1328930000000,-0.0330197811127
1328930000000,-0.0333232283592
1328970000000,-0.0343024134636
1328970000000,-0.0330700874329
1329010000000,-0.0316554903984
1329010000000,-0.0325137376785
1329050000000,-0.0317444205284
1329050000000,-0.0342404842377
1329090000000,-0.0331339240074
1329090000000,-0.0322719812393
1329130000000,-0.0306777358055
1329130000000,-0.0307683944702
1329170000000,-0.0298223495483
1329170000000,-0.0284745693207
1329210000000,-0.0297265052795
1329210000000,-0.0299577713013
1329250000000,-0.0310813188553
1329250000000,-0.0304561257362
1329290000000,-0.0292432904243
1329290000000,-0.030907869339
1329330000000,-0.0307807326317
1329330000000,-0.0304351449013
1329370000000,-0.0298068523407
1329370000000,-0.0305677652359
1329410000000,-0.0308920145035
1329410000000,-0.0299372673035
1329450000000,-0.0306527614594
1329450000000,-0.0296755433083
1329490000000,-0.0299710631371
1329490000000,-0.03091609478
1329530000000,-0.0307777523994
